Indicador,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
IPCA Alimentação no domicílio,2025-06-20 00:00:00,03/2027,0.6407,0.615,0.2353,0.13,1.4,52,1
IPCA Alimentação no domicílio,2025-06-20 00:00:00,03/2027,0.629,0.605,0.2315,0.13,1.4,64,0
IPCA Administrados,2025-06-20 00:00:00,03/2027,0.3846,0.35,0.1863,0.11,1.22,53,1
IPCA Administrados,2025-06-20 00:00:00,03/2027,0.3897,0.35,0.2227,0.11,1.56,68,0
IPCA,2025-06-20 00:00:00,02/2027,0.599,0.58,0.1583,0.29,1.2957,80,1
IPCA,2025-06-20 00:00:00,02/2027,0.5813,0.58,0.1678,0.2,1.2957,104,0
Câmbio,2025-06-20 00:00:00,02/2027,5.7768,5.76,0.2021,5.3,6.5,63,1
Câmbio,2025-06-20 00:00:00,02/2027,5.766,5.77,0.2334,4.8,6.5,98,0
IPCA Livres,2025-06-20 00:00:00,02/2027,0.5907,0.61,0.1743,-0.0973,0.94,54,1
IPCA Livres,2025-06-20 00:00:00,02/2027,0.5865,0.6,0.1753,-0.0973,0.95,67,0
IPCA Serviços,2025-06-20 00:00:00,02/2027,0.8599,0.9,0.2463,0.1,1.26,53,1
IPCA Serviços,2025-06-20 00:00:00,02/2027,0.8639,0.905,0.2434,0.1,1.26,66,0
IPCA Bens industrializados,2025-06-20 00:00:00,02/2027,0.299,0.3,0.1421,0.03,0.81,52,1
IPCA Bens industrializados,2025-06-20 00:00:00,02/2027,0.3048,0.3,0.1495,0.03,0.81,64,0
IPCA Alimentação no domicílio,2025-06-20 00:00:00,02/2027,0.4743,0.46,0.223,0.0,0.9,53,1
IPCA Alimentação no domicílio,2025-06-20 00:00:00,02/2027,0.4758,0.46,0.2214,0.0,0.9,65,0
IPCA Administrados,2025-06-20 00:00:00,02/2027,0.3897,0.3685,0.1592,0.1,0.82,54,1
IPCA Administrados,2025-06-20 00:00:00,02/2027,0.3953,0.37,0.1879,0.1,1.37,69,0
IPCA,2025-06-20 00:00:00,01/2027,0.4207,0.44,0.1252,0.1364,0.87,81,1
IPCA,2025-06-20 00:00:00,01/2027,0.4166,0.43,0.1223,0.1,0.87,105,0
Câmbio,2025-06-20 00:00:00,01/2027,5.781,5.79,0.1993,5.39,6.5,65,1
Câmbio,2025-06-20 00:00:00,01/2027,5.7755,5.8,0.2192,4.95,6.5,100,0
IPCA Livres,2025-06-20 00:00:00,01/2027,0.4591,0.455,0.1589,0.12,1.1712,54,1
IPCA Livres,2025-06-20 00:00:00,01/2027,0.4657,0.45,0.1583,0.12,1.1712,67,0
IPCA Serviços,2025-06-20 00:00:00,01/2027,0.3803,0.37,0.1303,0.0202,0.73,53,1
IPCA Serviços,2025-06-20 00:00:00,01/2027,0.3909,0.37,0.1299,0.0202,0.73,66,0
IPCA Bens industrializados,2025-06-20 00:00:00,01/2027,0.2857,0.27,0.1051,-0.12,0.59,52,1
IPCA Bens industrializados,2025-06-20 00:00:00,01/2027,0.2927,0.28,0.1144,-0.12,0.75,65,0
IPCA Alimentação no domicílio,2025-06-20 00:00:00,01/2027,0.8159,0.83,0.2784,0.22,1.42,53,1
IPCA Alimentação no domicílio,2025-06-20 00:00:00,01/2027,0.8161,0.84,0.285,0.22,1.42,65,0
IPCA Administrados,2025-06-20 00:00:00,01/2027,0.3616,0.375,0.1407,-0.12,0.68,54,1
IPCA Administrados,2025-06-20 00:00:00,01/2027,0.3496,0.38,0.1545,-0.23,0.68,69,0
IPCA,2025-06-20 00:00:00,12/2026,0.537,0.5207,0.1055,0.32,0.9959,99,1
IPCA,2025-06-20 00:00:00,12/2026,0.5396,0.52,0.1639,0.32,2.0075,134,0
Câmbio,2025-06-20 00:00:00,12/2026,5.7697,5.8,0.2067,5.1,6.5,79,1
Câmbio,2025-06-20 00:00:00,12/2026,5.7893,5.8,0.2267,5.1,6.5,126,0
IPCA Livres,2025-06-20 00:00:00,12/2026,0.6378,0.6171,0.1399,0.2442,0.9771,66,1
IPCA Livres,2025-06-20 00:00:00,12/2026,0.6282,0.6113,0.1513,0.2362,0.9771,84,0
IPCA Serviços,2025-06-20 00:00:00,12/2026,0.6188,0.61,0.2046,-0.1762,1.0523,65,1
IPCA Serviços,2025-06-20 00:00:00,12/2026,0.6123,0.6013,0.2058,-0.1762,1.1,82,0
IPCA Bens industrializados,2025-06-20 00:00:00,12/2026,0.458,0.4212,0.1838,-0.1332,1.2437,64,1
IPCA Bens industrializados,2025-06-20 00:00:00,12/2026,0.4564,0.42,0.1822,-0.1332,1.2437,80,0
IPCA Alimentação no domicílio,2025-06-20 00:00:00,12/2026,0.817,0.85,0.2784,-0.2382,1.8029,66,1
IPCA Alimentação no domicílio,2025-06-20 00:00:00,12/2026,0.8064,0.82,0.2932,-0.2382,1.8029,81,0
IPCA Administrados,2025-06-20 00:00:00,12/2026,0.2749,0.2541,0.2306,-0.24,1.1128,68,1
IPCA Administrados,2025-06-20 00:00:00,12/2026,0.2785,0.2632,0.2173,-0.24,1.1128,88,0
IGP-M,2025-06-20 00:00:00,11/2026,0.421,0.4,0.157,-0.01,0.75,43,1
IGP-M,2025-06-20 00:00:00,11/2026,0.4276,0.4,0.1612,-0.01,0.75,54,0
IPCA,2025-06-20 00:00:00,11/2026,0.3427,0.34,0.0881,0.11,0.6038,99,1
IPCA,2025-06-20 00:00:00,11/2026,0.3392,0.34,0.0869,0.11,0.6038,134,0
